"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Legislation_type","Geography","Geography_type","Number of stop and searches","Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported)","Population by ethnicity","Rate per 1,000 population by ethnicity","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","All","All","All","Cumbria","Police Force Area","10,603","10,365","499,858","21.21","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","All","All","All","Cumbria","Police Force Area","10,508","10,183","499,858","21.02","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","All","All","All","Cumbria","Police Force Area","14,102","13,685","499,858","28.21","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","All","All","All","Cumbria","Police Force Area","12,863","12,251","499,858","25.73","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","All","Cumbria","Police Force Area","10,462","9,616","499,858","20.93","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","All","All","All","Cumbria","Police Force Area","6,154","5,622","499,858","12.31","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","All","All","All","Cumbria","Police Force Area","3,600","3,490","499,858","7.2","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","All","All","All","Cumbria","Police Force Area","1,845","1,755","499,858","3.69","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","All","All","All","Cumbria","Police Force Area","1,392","1,366","499,858","2.78","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","All","All","All","Cumbria","Police Force Area","1618","1558","499858","3.24","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","All","All","All","Cumbria","Police Force Area","1942","1867","499858","3.89","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","All","All","All","Derbyshire","Police Force Area","8,535","8,368","1,018,438","8.38","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","All","All","All","Derbyshire","Police Force Area","8,293","7,999","1,018,438","8.14","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","All","All","All","Derbyshire","Police Force Area","7,822","7,695","1,018,438","7.68","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","All","All","All","Derbyshire","Police Force Area","8,523","8,411","1,018,438","8.37","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","All","All","All","Derbyshire","Police Force Area","11,508","11,336","1,018,438","11.3","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","All","All","All","Derbyshire","Police Force Area","15,142","14,875","1,018,438","14.87","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","All","All","All","Derbyshire","Police Force Area","12,688","12,377","1,018,438","12.46","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","All","Derbyshire","Police Force Area","6,332","6,211","1,018,438","6.22","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","All","All","All","Derbyshire","Police Force Area","5,476","5,291","1,018,438","5.38","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","All","All","All","Derbyshire","Police Force Area","3,635","3,534","1,018,438","3.57","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","All","All","All","Derbyshire","Police Force Area","1,884","1,724","1,018,438","1.85","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","All","All","All","Derbyshire","Police Force Area","1,184","1,084","1,018,438","1.16","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","All","All","All","Derbyshire","Police Force Area","1639","1431","1018438","1.61","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","All","All","All","Derbyshire","Police Force Area","1698","1517","1018438","1.67","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","All","All","All","Devon & Cornwall","Police Force Area","26,176","24,411","1,668,218","15.69","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","All","All","All","Devon & Cornwall","Police Force Area","22,032","20,731","1,668,218","13.21","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","All","All","All","Devon & Cornwall","Police Force Area","22,963","21,875","1,668,218","13.76","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","All","All","All","Devon & Cornwall","Police Force Area","24,042","22,967","1,668,218","14.41","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","All","All","All","Devon & Cornwall","Police Force Area","20,360","19,460","1,668,218","12.2","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","All","All","All","Devon & Cornwall","Police Force Area","17,797","16,876","1,668,218","10.67","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","All","All","All","Devon & Cornwall","Police Force Area","13,883","13,107","1,668,218","8.32","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","All","Devon & Cornwall","Police Force Area","13,737","13,125","1,668,218","8.23","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","All","All","All","Devon & Cornwall","Police Force Area","8,506","8,010","1,668,218","5.1","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","All","All","All","Devon & Cornwall","Police Force Area","6,153","5,802","1,668,218","3.69","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","All","All","All","Devon & Cornwall","Police Force Area","5,092","4,744","1,668,218","3.05","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","All","All","All","Devon & Cornwall","Police Force Area","4,906","4,445","1,668,218","2.94","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","All","All","All","Devon & Cornwall","Police Force Area","4660","4088","1668218","2.79","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","All","All","All","Devon & Cornwall","Police Force Area","5603","4396","1668218","3.36","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","All","All","All","Dorset","Police Force Area","6,653","6,543","744,041","8.94","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","All","All","All","Dorset","Police Force Area","7,910","7,786","744,041","10.63","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","All","All","All","Dorset","Police Force Area","6,489","6,426","744,041","8.72","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","All","All","All","Dorset","Police Force Area","6,571","6,561","744,041","8.83","N/A",""
